"time","output","temperature room","temperature labnode"
"2022-09-22 18:15:00+00",2071,NULL,306.01
"2022-09-22 18:15:02+00",2071,NULL,306.03
"2022-09-22 18:15:04+00",2071,NULL,306.02
"2022-09-22 18:15:06+00",2071,NULL,306.015
"2022-09-22 18:15:08+00",2071,296.115,306.01
"2022-09-22 18:15:10+00",2071,NULL,306.015
"2022-09-22 18:15:12+00",2071,NULL,306.02
"2022-09-22 18:15:14+00",2071,NULL,306.04
"2022-09-22 18:15:16+00",2071,NULL,306.03
"2022-09-22 18:15:18+00",2071,NULL,306.03
"2022-09-22 18:15:20+00",2071,NULL,306.025
"2022-09-22 18:15:22+00",2071,NULL,306.03
"2022-09-22 18:15:24+00",2071,NULL,306.03
"2022-09-22 18:15:26+00",2071,NULL,306.02
"2022-09-22 18:15:28+00",2071,296.115,306.03
"2022-09-22 18:15:30+00",2071,NULL,306.015
"2022-09-22 18:15:32+00",2071,NULL,306.02
"2022-09-22 18:15:34+00",2071,296.115,306.02
"2022-09-22 18:15:36+00",2071,NULL,306.015
"2022-09-22 18:15:38+00",2071,NULL,306.02
"2022-09-22 18:15:40+00",2071,NULL,306.02
"2022-09-22 18:15:42+00",2071,NULL,306.015
"2022-09-22 18:15:44+00",2071,NULL,306.03499999999997
"2022-09-22 18:15:46+00",2071,NULL,306.005
"2022-09-22 18:15:48+00",2071,NULL,306.015
"2022-09-22 18:15:50+00",2071,NULL,306.02
"2022-09-22 18:15:52+00",2071,NULL,306.01
"2022-09-22 18:15:54+00",2071,NULL,306.03
"2022-09-22 18:15:56+00",2071,NULL,306.005
"2022-09-22 18:15:58+00",2071,NULL,306.015
"2022-09-22 18:16:00+00",2071,NULL,306.01
"2022-09-22 18:16:02+00",2071,NULL,306.01
"2022-09-22 18:16:04+00",2071,NULL,306.01
"2022-09-22 18:16:06+00",2071,NULL,306.025
"2022-09-22 18:16:08+00",2071,NULL,306.01
"2022-09-22 18:16:10+00",2071,NULL,306.01
"2022-09-22 18:16:12+00",2071,NULL,306.01
"2022-09-22 18:16:14+00",2071,NULL,306.03
"2022-09-22 18:16:16+00",2071,NULL,306.04
"2022-09-22 18:16:18+00",2071,NULL,306.03
"2022-09-22 18:16:20+00",2071,NULL,306.02
"2022-09-22 18:16:22+00",2071,296.08,306.015
"2022-09-22 18:16:24+00",2071,296.15,306.025
"2022-09-22 18:16:26+00",2071,NULL,306.03
