"time","output","temperature_room","temperature_labnode"
"2022-09-21 01:03:14+00",877,296.12166666666667,306.18
"2022-09-21 01:03:16+00",877,296.125,306.18
"2022-09-21 01:03:18+00",877,296.1328571428572,306.17
"2022-09-21 01:03:20+00",877,296.1257142857143,306.175
"2022-09-21 01:03:22+00",877,296.12600000000003,306.185
"2022-09-21 01:03:24+00",877,296.1333333333334,306.175
"2022-09-21 01:03:26+00",877,296.122,306.17
"2022-09-21 01:03:28+00",877,296.11333333333334,306.18
"2022-09-21 01:03:30+00",877,296.13714285714286,306.18
"2022-09-21 01:03:32+00",877,296.12666666666667,306.175
"2022-09-21 01:03:34+00",877,296.11400000000003,306.185
"2022-09-21 01:03:36+00",877,296.1271428571428,306.18
"2022-09-21 01:03:38+00",877,296.13,306.185
"2022-09-21 01:03:40+00",877,296.13750000000005,306.185
"2022-09-21 01:03:42+00",877,296.13,306.185
"2022-09-21 01:03:44+00",877,296.12600000000003,306.18
"2022-09-21 01:03:46+00",877,296.125,306.19
"2022-09-21 01:03:48+00",877,296.14000000000004,306.19
"2022-09-21 01:03:50+00",877,296.13166666666666,306.195
"2022-09-21 01:03:52+00",877,296.125,306.19
"2022-09-21 01:03:54+00",877,296.12800000000004,306.19
"2022-09-21 01:03:56+00",877,296.14250000000004,306.195
"2022-09-21 01:03:58+00",877,296.13374999999996,306.19
"2022-09-21 01:04:00+00",877,296.12999999999994,306.2
"2022-09-21 01:04:02+00",877,296.13,306.195
"2022-09-21 01:04:04+00",877,296.14,306.195
"2022-09-21 01:04:06+00",877,296.1325,306.19
"2022-09-21 01:04:08+00",877,296.13800000000003,306.195
"2022-09-21 01:04:10+00",877,296.135,306.195
"2022-09-21 01:04:12+00",877,296.12833333333333,306.2
"2022-09-21 01:04:14+00",877,296.1325,306.19
"2022-09-21 01:04:16+00",877,296.13199999999995,306.19
"2022-09-21 01:04:18+00",877,296.142,306.195
"2022-09-21 01:04:20+00",877,296.12166666666667,306.195
"2022-09-21 01:04:22+00",877,296.12399999999997,306.205
"2022-09-21 01:04:24+00",877,296.1116666666667,306.195
"2022-09-21 01:04:26+00",877,296.12857142857143,306.2
"2022-09-21 01:04:28+00",877,296.1242857142857,306.19
"2022-09-21 01:04:30+00",877,296.12,306.2
"2022-09-21 01:04:32+00",877,296.115,306.19
"2022-09-21 01:04:34+00",877,296.13,306.195
"2022-09-21 01:04:36+00",877,296.13428571428574,306.19
"2022-09-21 01:04:38+00",877,296.14399999999995,306.195
"2022-09-21 01:04:40+00",877,296.13125,306.2
"2022-09-21 01:04:42+00",877,296.1325,306.195
"2022-09-21 01:04:44+00",877,296.1233333333333,306.195
"2022-09-21 01:04:46+00",877,296.1433333333333,306.19
"2022-09-21 01:04:48+00",877,296.13599999999997,306.2
"2022-09-21 01:04:50+00",877,296.145,306.21
"2022-09-21 01:04:52+00",877,296.13000000000005,306.21
"2022-09-21 01:04:54+00",877,296.13333333333327,306.205
"2022-09-21 01:04:56+00",877,296.14142857142855,306.2
"2022-09-21 01:04:58+00",877,296.15333333333336,306.205
"2022-09-21 01:05:00+00",877,296.1385714285715,306.19
"2022-09-21 01:05:02+00",877,296.13714285714286,306.2
"2022-09-21 01:05:04+00",877,296.1475,306.2
"2022-09-21 01:05:06+00",877,296.1471428571429,306.2
"2022-09-21 01:05:08+00",877,296.13625,306.195
"2022-09-21 01:05:10+00",877,296.142,306.19
"2022-09-21 01:05:12+00",877,296.14166666666665,306.185
"2022-09-21 01:05:14+00",877,296.134,306.2
"2022-09-21 01:05:16+00",877,296.14875,306.19
"2022-09-21 01:05:18+00",877,296.1457142857143,306.19
"2022-09-21 01:05:20+00",877,296.14000000000004,306.19
"2022-09-21 01:05:22+00",877,296.13599999999997,306.2
"2022-09-21 01:05:24+00",877,296.1366666666667,306.19
"2022-09-21 01:05:26+00",877,296.14000000000004,306.19
"2022-09-21 01:05:28+00",877,296.142,306.19
"2022-09-21 01:05:30+00",877,296.1366666666667,306.19
"2022-09-21 01:05:32+00",877,296.14,306.185
"2022-09-21 01:05:34+00",877,296.14166666666665,306.18
"2022-09-21 01:05:36+00",877,296.1433333333334,306.175
"2022-09-21 01:05:38+00",877,296.142,306.18
"2022-09-21 01:05:40+00",877,296.1383333333333,306.17
"2022-09-21 01:05:42+00",877,296.14250000000004,306.17
"2022-09-21 01:05:44+00",877,296.1366666666667,306.17
"2022-09-21 01:05:46+00",877,296.15,306.17
"2022-09-21 01:05:48+00",877,296.16400000000004,306.175
"2022-09-21 01:05:50+00",877,296.14,306.175
"2022-09-21 01:05:52+00",877,296.146,306.165
"2022-09-21 01:05:54+00",877,296.14399999999995,306.165
"2022-09-21 01:05:56+00",877,296.1457142857143,306.175
"2022-09-21 01:05:58+00",877,296.1333333333333,306.165
"2022-09-21 01:06:00+00",877,296.14,306.165
"2022-09-21 01:06:02+00",877,296.135,306.18
"2022-09-21 01:06:04+00",877,296.15,306.17
"2022-09-21 01:06:06+00",877,296.154,306.18
"2022-09-21 01:06:08+00",877,296.14666666666665,306.18
"2022-09-21 01:06:10+00",877,296.1466666666667,306.185
"2022-09-21 01:06:12+00",877,296.1275,306.195
"2022-09-21 01:06:14+00",877,296.14428571428573,306.195
"2022-09-21 01:06:16+00",877,296.16499999999996,306.195
"2022-09-21 01:06:18+00",877,296.1533333333333,306.195
"2022-09-21 01:06:20+00",877,296.16285714285715,306.185
"2022-09-21 01:06:22+00",877,296.16333333333336,306.21
"2022-09-21 01:06:24+00",877,296.15333333333336,306.2
"2022-09-21 01:06:26+00",877,296.15500000000003,306.205
"2022-09-21 01:06:28+00",877,296.16,306.195
"2022-09-21 01:06:30+00",877,296.16499999999996,306.205
"2022-09-21 01:06:32+00",877,296.155,306.21
"2022-09-21 01:06:34+00",877,296.158,306.205
"2022-09-21 01:06:36+00",877,296.155,306.2
"2022-09-21 01:06:38+00",877,296.146,306.225
"2022-09-21 01:06:40+00",877,296.155,306.205
"2022-09-21 01:06:42+00",877,296.14,306.22
"2022-09-21 01:06:44+00",877,296.1675,306.21
"2022-09-21 01:06:46+00",877,296.156,306.21000000000004
"2022-09-21 01:06:48+00",877,296.15250000000003,306.21500000000003
"2022-09-21 01:06:50+00",877,296.14399999999995,306.23
"2022-09-21 01:06:52+00",877,296.14399999999995,306.23
"2022-09-21 01:06:54+00",877,296.15000000000003,306.22
"2022-09-21 01:06:56+00",877,296.154,306.22
"2022-09-21 01:06:58+00",877,296.14,306.21500000000003
"2022-09-21 01:07:00+00",877,296.15,306.23
"2022-09-21 01:07:02+00",877,296.15,306.24
"2022-09-21 01:07:04+00",877,296.14666666666665,306.23
"2022-09-21 01:07:06+00",877,296.17,306.245
"2022-09-21 01:07:08+00",877,296.166,306.24
"2022-09-21 01:07:10+00",877,296.1485714285714,306.255
"2022-09-21 01:07:12+00",877,296.1628571428572,306.245
"2022-09-21 01:07:14+00",877,296.15333333333336,306.24
"2022-09-21 01:07:16+00",877,296.16857142857145,306.25
"2022-09-21 01:07:18+00",877,296.16,306.245
"2022-09-21 01:07:20+00",877,296.15600000000006,306.26
"2022-09-21 01:07:22+00",877,296.1583333333333,306.255
"2022-09-21 01:07:24+00",877,296.15600000000006,306.255
"2022-09-21 01:07:26+00",877,296.156,306.25
"2022-09-21 01:07:28+00",877,296.155,306.255
"2022-09-21 01:07:30+00",877,296.15142857142854,306.255
"2022-09-21 01:07:32+00",877,296.1485714285714,306.245
"2022-09-21 01:07:34+00",877,296.158,306.26
"2022-09-21 01:07:36+00",877,296.15,306.25
"2022-09-21 01:07:38+00",877,296.16,306.25
"2022-09-21 01:07:40+00",877,296.15000000000003,306.245
"2022-09-21 01:07:42+00",877,296.15333333333336,306.24
"2022-09-21 01:07:44+00",877,296.1542857142857,306.245
"2022-09-21 01:07:46+00",877,296.16,306.255
"2022-09-21 01:07:48+00",877,296.16333333333336,306.245
"2022-09-21 01:07:50+00",877,296.15000000000003,306.245
"2022-09-21 01:07:52+00",877,296.144,306.235
"2022-09-21 01:07:54+00",877,296.16,306.24
"2022-09-21 01:07:56+00",877,296.17,306.23
"2022-09-21 01:07:58+00",877,296.15999999999997,306.22
"2022-09-21 01:08:00+00",877,296.17,306.23
"2022-09-21 01:08:02+00",877,296.16,306.21500000000003
"2022-09-21 01:08:04+00",877,296.17,306.21
"2022-09-21 01:08:06+00",877,296.162,306.22
"2022-09-21 01:08:08+00",877,296.16333333333336,306.21500000000003
"2022-09-21 01:08:10+00",877,296.15500000000003,306.22
"2022-09-21 01:08:12+00",877,296.155,306.21
"2022-09-21 01:08:14+00",877,296.1666666666667,306.225
"2022-09-21 01:08:16+00",877,296.154,306.22
"2022-09-21 01:08:18+00",877,296.1575,306.22
"2022-09-21 01:08:20+00",877,296.1533333333333,306.21
"2022-09-21 01:08:22+00",877,296.154,306.245
"2022-09-21 01:08:24+00",877,296.14666666666665,306.235
"2022-09-21 01:08:26+00",877,296.15166666666664,306.21500000000003
"2022-09-21 01:08:28+00",877,296.15000000000003,306.23
"2022-09-21 01:08:30+00",877,296.14285714285717,306.24
"2022-09-21 01:08:32+00",877,296.1375,306.23
"2022-09-21 01:08:34+00",877,296.14,306.22
"2022-09-21 01:08:36+00",877,296.1366666666667,306.22
"2022-09-21 01:08:38+00",877,296.14285714285717,306.22
"2022-09-21 01:08:40+00",877,296.12857142857143,306.21500000000003
"2022-09-21 01:08:42+00",877,296.14,306.23
"2022-09-21 01:08:44+00",877,296.14166666666665,306.23
"2022-09-21 01:08:46+00",877,296.14666666666665,306.23
"2022-09-21 01:08:48+00",877,296.1385714285714,306.22
"2022-09-21 01:08:50+00",877,296.14125,306.22
"2022-09-21 01:08:52+00",877,296.1485714285714,306.24
"2022-09-21 01:08:54+00",877,296.15142857142865,306.22
"2022-09-21 01:08:56+00",877,296.13199999999995,306.225
"2022-09-21 01:08:58+00",877,296.1375,306.21500000000003
"2022-09-21 01:09:00+00",877,296.1375,306.22
"2022-09-21 01:09:02+00",877,296.142,306.22
"2022-09-21 01:09:04+00",877,296.15,306.22
"2022-09-21 01:09:06+00",877,296.145,306.21500000000003
"2022-09-21 01:09:08+00",877,296.1416666666667,306.21500000000003
"2022-09-21 01:09:10+00",877,296.1333333333334,306.21500000000003
"2022-09-21 01:09:12+00",877,296.13599999999997,306.2
"2022-09-21 01:09:14+00",877,296.1433333333334,306.205
"2022-09-21 01:09:16+00",877,296.1383333333333,306.2
"2022-09-21 01:09:18+00",877,296.14500000000004,306.205
"2022-09-21 01:09:20+00",877,296.13666666666666,306.195
"2022-09-21 01:09:22+00",877,296.1525,306.205
"2022-09-21 01:09:24+00",877,296.1383333333333,306.205
"2022-09-21 01:09:26+00",877,296.142,306.2
"2022-09-21 01:09:28+00",877,296.1433333333334,306.205
"2022-09-21 01:09:30+00",877,296.14500000000004,306.21
"2022-09-21 01:09:32+00",877,296.1333333333333,306.2
"2022-09-21 01:09:34+00",877,296.16333333333336,306.2
"2022-09-21 01:09:36+00",877,296.155,306.21
"2022-09-21 01:09:38+00",877,296.15600000000006,306.205
"2022-09-21 01:09:40+00",877,296.14166666666665,306.21
"2022-09-21 01:09:42+00",877,296.15,306.21500000000003
"2022-09-21 01:09:44+00",877,296.16600000000005,306.22
"2022-09-21 01:09:46+00",877,296.15000000000003,306.21500000000003
"2022-09-21 01:09:48+00",877,296.135,306.22
"2022-09-21 01:09:50+00",877,296.16333333333336,306.23
"2022-09-21 01:09:52+00",877,296.15000000000003,306.22
"2022-09-21 01:09:54+00",877,296.1557142857143,306.225
