# This file contains voltage measurements accross a 100 Ω shunt resistor driven by the digital current driver.
# KS34470A ACAL TEMP=+2.75075130E+01
# Log started at UTC: 2021-04-13T19:43:25+00:00
# Date,Value KS34470A
2021-04-13 19:50:27.871436,-1.02443940E+01
2021-04-13 19:50:32.007724,-1.02443944E+01
2021-04-13 19:50:36.064394,-1.02443952E+01
2021-04-13 19:50:40.120909,-1.02443954E+01
2021-04-13 19:50:44.177663,-1.02443954E+01
2021-04-13 19:50:48.234399,-1.02443948E+01
2021-04-13 19:50:52.290979,-1.02443960E+01
2021-04-13 19:50:56.347849,-1.02443953E+01
2021-04-13 19:51:00.404215,-1.02443958E+01
2021-04-13 19:51:04.460967,-1.02443965E+01
2021-04-13 19:51:08.518142,-1.02443969E+01
2021-04-13 19:51:12.651229,-1.02443968E+01
2021-04-13 19:51:16.708010,-1.02443966E+01
2021-04-13 19:51:20.764517,-1.02443971E+01
2021-04-13 19:51:24.821075,-1.02443972E+01
2021-04-13 19:51:28.878702,-1.02443975E+01
2021-04-13 19:51:32.935206,-1.02443969E+01
2021-04-13 19:51:36.991965,-1.02443975E+01
2021-04-13 19:51:41.049032,-1.02443975E+01
2021-04-13 19:51:45.104560,-1.02443971E+01
2021-04-13 19:51:49.239745,-1.02443968E+01
2021-04-13 19:51:53.294313,-1.02443967E+01
2021-04-13 19:51:57.348734,-1.02443960E+01
2021-04-13 19:52:01.403092,-1.02443971E+01
2021-04-13 19:52:05.457650,-1.02443974E+01
2021-04-13 19:52:09.512060,-1.02443972E+01
2021-04-13 19:52:13.648423,-1.02443969E+01
2021-04-13 19:52:17.702770,-1.02443977E+01
2021-04-13 19:52:21.757127,-1.02443971E+01
2021-04-13 19:52:25.811417,-1.02443968E+01
2021-04-13 19:52:29.865668,-1.02443967E+01
2021-04-13 19:52:33.920211,-1.02443971E+01
2021-04-13 19:52:37.974823,-1.02443970E+01
2021-04-13 19:52:42.029124,-1.02443959E+01
2021-04-13 19:52:46.083634,-1.02443967E+01
2021-04-13 19:52:50.138115,-1.02443956E+01
2021-04-13 19:52:54.192330,-1.02443954E+01
2021-04-13 19:52:58.246962,-1.02443960E+01
2021-04-13 19:53:02.301179,-1.02443952E+01
2021-04-13 19:53:06.355724,-1.02443916E+01
2021-04-13 19:53:10.410356,-1.02443902E+01
2021-04-13 19:53:14.465489,-1.02443907E+01
2021-04-13 19:53:18.600778,-1.02443910E+01
2021-04-13 19:53:22.655173,-1.02443902E+01
2021-04-13 19:53:26.710345,-1.02443903E+01
2021-04-13 19:53:30.766423,-1.02443902E+01
2021-04-13 19:53:34.821562,-1.02443903E+01
2021-04-13 19:53:38.876659,-1.02443907E+01
2021-04-13 19:53:42.931651,-1.02443902E+01
2021-04-13 19:53:46.986804,-1.02443910E+01
2021-04-13 19:53:51.042126,-1.02443906E+01
2021-04-13 19:53:55.096960,-1.02443907E+01
2021-04-13 19:53:59.152351,-1.02443903E+01
2021-04-13 19:54:03.212151,-1.02443907E+01
2021-04-13 19:54:07.266288,-1.02443910E+01
2021-04-13 19:54:11.320366,-1.02443907E+01
2021-04-13 19:54:15.374614,-1.02443912E+01
2021-04-13 19:54:19.428575,-1.02443914E+01
2021-04-13 19:54:23.482743,-1.02443906E+01
2021-04-13 19:54:27.536967,-1.02443912E+01
2021-04-13 19:54:31.590984,-1.02443907E+01
2021-04-13 19:54:35.645138,-1.02443910E+01
2021-04-13 19:54:39.699342,-1.02443908E+01
2021-04-13 19:54:43.753393,-1.02443903E+01
2021-04-13 19:54:47.808096,-1.02443903E+01
2021-04-13 19:54:51.862844,-1.02443907E+01
2021-04-13 19:54:55.916967,-1.02443907E+01
2021-04-13 19:54:59.971222,-1.02443904E+01
2021-04-13 19:55:04.026442,-1.02443909E+01
2021-04-13 19:55:08.080971,-1.02443912E+01
2021-04-13 19:55:12.135979,-1.02443909E+01
2021-04-13 19:55:16.190896,-1.02443906E+01
2021-04-13 19:55:20.245539,-1.02443903E+01
2021-04-13 19:55:24.300386,-1.02443908E+01
2021-04-13 19:55:28.355096,-1.02443906E+01
2021-04-13 19:55:32.410236,-1.02443902E+01
2021-04-13 19:55:36.465148,-1.02443912E+01
2021-04-13 19:55:40.520160,-1.02443900E+01
2021-04-13 19:55:44.574984,-1.02443909E+01
2021-04-13 19:55:48.629792,-1.02443902E+01
2021-04-13 19:55:52.684430,-1.02443904E+01
2021-04-13 19:55:56.739038,-1.02443909E+01
2021-04-13 19:56:00.793681,-1.02443905E+01
2021-04-13 19:56:04.848707,-1.02443910E+01
2021-04-13 19:56:08.903340,-1.02443908E+01
2021-04-13 19:56:12.958131,-1.02443902E+01
2021-04-13 19:56:17.012654,-1.02443906E+01
2021-04-13 19:56:21.067556,-1.02443903E+01
2021-04-13 19:56:25.122048,-1.02443902E+01
2021-04-13 19:56:29.176138,-1.02443905E+01
2021-04-13 19:56:33.230242,-1.02443907E+01
2021-04-13 19:56:37.284340,-1.02443967E+01
2021-04-13 19:56:41.339628,-1.02443976E+01
2021-04-13 19:56:45.394695,-1.02443981E+01
