"time","output","temperature room","temperature labnode"
"2022-09-20 22:00:00+00",2075,296.15,308.03
"2022-09-20 22:00:02+00",2075,296.17999999999995,308.055
"2022-09-20 22:00:04+00",2075,296.21,308.05
"2022-09-20 22:00:06+00",2075,296.17999999999995,308.03999999999996
"2022-09-20 22:00:08+00",2075,NULL,308.015
"2022-09-20 22:00:10+00",2075,NULL,308.025
"2022-09-20 22:00:12+00",2075,296.15,308.055
"2022-09-20 22:00:14+00",2075,296.17999999999995,308.03999999999996
"2022-09-20 22:00:16+00",2075,296.17999999999995,308.04499999999996
"2022-09-20 22:00:18+00",2075,296.21,308.065
"2022-09-20 22:00:20+00",2075,296.15,308.03999999999996
"2022-09-20 22:00:22+00",2075,296.17999999999995,308.025
"2022-09-20 22:00:24+00",2075,NULL,308.03
"2022-09-20 22:00:26+00",2075,296.17999999999995,308.03499999999997
"2022-09-20 22:00:28+00",2075,296.21,308.03999999999996
"2022-09-20 22:00:30+00",2075,296.17999999999995,308.02
"2022-09-20 22:00:32+00",2075,296.15,308.03999999999996
"2022-09-20 22:00:34+00",2075,296.21,308.05
"2022-09-20 22:00:36+00",2075,296.17999999999995,308.025
"2022-09-20 22:00:38+00",2075,296.17999999999995,308.025
"2022-09-20 22:00:40+00",2075,NULL,308.02
"2022-09-20 22:00:42+00",2075,296.15,308.03
"2022-09-20 22:00:44+00",2075,296.21,308.03499999999997
"2022-09-20 22:00:46+00",2075,296.15,308.03
"2022-09-20 22:00:48+00",2075,296.21,308.03
"2022-09-20 22:00:50+00",2075,NULL,308.03999999999996
"2022-09-20 22:00:52+00",2075,NULL,308.03999999999996
"2022-09-20 22:00:54+00",2075,NULL,308.05
"2022-09-20 22:00:56+00",2075,NULL,308.025
"2022-09-20 22:00:58+00",2075,NULL,308.03
"2022-09-20 22:01:00+00",2075,NULL,308.02
"2022-09-20 22:01:02+00",2075,NULL,308.03999999999996
"2022-09-20 22:01:04+00",2075,296.17999999999995,308.055
"2022-09-20 22:01:06+00",2075,NULL,308.05
"2022-09-20 22:01:08+00",2075,NULL,308.055
"2022-09-20 22:01:10+00",2075,NULL,308.055
"2022-09-20 22:01:12+00",2075,296.15,308.05
"2022-09-20 22:01:14+00",2075,296.21,308.03999999999996
"2022-09-20 22:01:16+00",2075,296.17999999999995,308.05
"2022-09-20 22:01:18+00",2075,NULL,308.055
"2022-09-20 22:01:20+00",2075,NULL,308.055
"2022-09-20 22:01:22+00",2075,296.17999999999995,308.055
"2022-09-20 22:01:24+00",2075,NULL,308.06
"2022-09-20 22:01:26+00",2075,NULL,308.065
"2022-09-20 22:01:28+00",2075,NULL,308.055
"2022-09-20 22:01:30+00",2075,NULL,308.055
"2022-09-20 22:01:32+00",2075,NULL,308.055
"2022-09-20 22:01:34+00",2075,NULL,308.055
"2022-09-20 22:01:36+00",2075,NULL,308.065
"2022-09-20 22:01:38+00",2075,NULL,308.055
"2022-09-20 22:01:40+00",2075,NULL,308.065
"2022-09-20 22:01:42+00",2075,NULL,308.055
"2022-09-20 22:01:44+00",2075,NULL,308.07
"2022-09-20 22:01:46+00",2075,296.15,308.03999999999996
"2022-09-20 22:01:48+00",2075,296.21,308.04499999999996
"2022-09-20 22:01:50+00",2075,NULL,308.03999999999996
"2022-09-20 22:01:52+00",2075,NULL,308.03999999999996
"2022-09-20 22:01:54+00",2075,NULL,308.05
"2022-09-20 22:01:56+00",2075,NULL,308.055
"2022-09-20 22:01:58+00",2075,NULL,308.055
"2022-09-20 22:02:00+00",2075,NULL,308.055
"2022-09-20 22:02:02+00",2075,NULL,308.04499999999996
"2022-09-20 22:02:04+00",2075,NULL,308.06
"2022-09-20 22:02:06+00",2075,NULL,308.06
"2022-09-20 22:02:08+00",2075,NULL,308.065
"2022-09-20 22:02:10+00",2075,NULL,308.04499999999996
"2022-09-20 22:02:12+00",2075,NULL,308.06
"2022-09-20 22:02:14+00",2075,NULL,308.07
"2022-09-20 22:02:16+00",2075,NULL,308.07
"2022-09-20 22:02:18+00",2075,NULL,308.07
"2022-09-20 22:02:20+00",2075,NULL,308.055
"2022-09-20 22:02:22+00",2075,NULL,308.05
"2022-09-20 22:02:24+00",2075,NULL,308.07
"2022-09-20 22:02:26+00",2075,NULL,308.05
"2022-09-20 22:02:28+00",2075,NULL,308.05
"2022-09-20 22:02:30+00",2075,NULL,308.05
"2022-09-20 22:02:32+00",2075,NULL,308.055
