Freq.	1/I(V4)
1.00000000000000e-01,1.30710743256960e+02,-5.66233319828270e+00,
1.25892541179417e-01,1.30685768132067e+02,-7.11469137100681e+00,
1.58489319246111e-01,1.30646477119547e+02,-8.92964645282530e+00,
1.99526231496888e-01,1.30584924227883e+02,-1.11882019859765e+01,
2.51188643150958e-01,1.30489122158415e+02,-1.39805565128838e+01,
3.16227766016838e-01,1.30341486967612e+02,-1.73987930428102e+01,
3.98107170553497e-01,1.30117320387158e+02,-2.15216544803736e+01,
5.01187233627272e-01,1.29784167168386e+02,-2.63887903334171e+01,
6.30957344480193e-01,1.29303511245146e+02,-3.19660204225012e+01,
7.94328234724282e-01,1.28636348868732e+02,-3.81128979510471e+01,
1.00000000000000e+00,1.27752554528243e+02,-4.45749181302846e+01,
1.25892541179417e+00,1.26640545989978e+02,-5.10204840274780e+01,
1.58489319246111e+00,1.25311547871731e+02,-5.71162164275507e+01,
1.99526231496888e+00,1.23795475191870e+02,-6.26026126694380e+01,
2.51188643150958e+00,1.22131323550371e+02,-6.73316950706088e+01,
3.16227766016838e+00,1.20357769098385e+02,-7.12595977580398e+01,
3.98107170553498e+00,1.18507538122495e+02,-7.44139293563799e+01,
5.01187233627273e+00,1.16605683383681e+02,-7.68583704320692e+01,
6.30957344480194e+00,1.14670246140695e+02,-7.86659799761899e+01,
7.94328234724282e+00,1.12713840630784e+02,-7.99028567241183e+01,
1.00000000000000e+01,1.10745327560138e+02,-8.06195557055361e+01,
1.25892541179417e+01,1.08771268182315e+02,-8.08471509820027e+01,
1.58489319246112e+01,1.06797137482565e+02,-8.05956819848637e+01,
1.99526231496888e+01,1.04828396311126e+02,-7.98537274778653e+01,
2.51188643150958e+01,1.02871561539131e+02,-7.85887072558123e+01,
3.16227766016838e+01,1.00935413709597e+02,-7.67482852347738e+01,
3.98107170553498e+01,9.90324437684641e+01,-7.42640995032753e+01,
5.01187233627273e+01,9.71805221712095e+01,-7.10600483772042e+01,
6.30957344480194e+01,9.54044922284903e+01,-6.70682214006182e+01,
7.94328234724283e+01,9.37368705573031e+01,-6.22551151843911e+01,
1.00000000000000e+02,9.22162046876940e+01,-5.66566598550757e+01,
1.25892541179417e+02,9.08815504078686e+01,-5.04108853319107e+01,
1.58489319246112e+02,8.97631330602085e+01,-4.37659483036484e+01,
1.99526231496888e+02,8.88726571713304e+01,-3.70432824177296e+01,
2.51188643150958e+02,8.81989632240002e+01,-3.05619725963382e+01,
3.16227766016839e+02,8.77120512708673e+01,-2.45621502523199e+01,
3.98107170553498e+02,8.73726240755113e+01,-1.91659065710333e+01,
5.01187233627273e+02,8.71414378155256e+01,-1.43830407866834e+01,
6.30957344480194e+02,8.69848560947637e+01,-1.01419025952932e+01,
7.94328234724283e+02,8.68764247069750e+01,-6.32280038130250e+00,
1.00000000000000e+03,8.67959507040747e+01,-2.78244856057645e+00,
1.25892541179417e+03,8.67275089389242e+01,6.32072038182951e-01,
1.58489319246112e+03,8.66571605294260e+01,4.07681887495895e+00,
1.99526231496888e+03,8.65706457945562e+01,7.70793070381386e+00,
2.51188643150959e+03,8.64510769061111e+01,1.16780471032814e+01,
3.16227766016839e+03,8.62766931102320e+01,1.61282120616704e+01,
3.98107170553498e+03,8.60190590789038e+01,2.11713260998570e+01,
