"time","output","temperature room","temperature labnode"
"2022-09-24 09:03:48+00",570,296.18,307.21500000000003
"2022-09-24 09:03:50+00",570,296.21500000000003,307.21500000000003
"2022-09-24 09:03:52+00",570,296.19,307.21500000000003
"2022-09-24 09:03:54+00",570,296.20500000000004,307.21
"2022-09-24 09:03:56+00",570,296.205,307.22
"2022-09-24 09:03:58+00",570,296.18,307.21
"2022-09-24 09:04:00+00",570,296.205,307.225
"2022-09-24 09:04:02+00",570,296.185,307.21
"2022-09-24 09:04:04+00",570,296.19,307.21500000000003
"2022-09-24 09:04:06+00",570,296.205,307.21
"2022-09-24 09:04:08+00",570,296.19,307.225
"2022-09-24 09:04:10+00",570,296.18,307.22
"2022-09-24 09:04:12+00",570,296.185,307.21
"2022-09-24 09:04:14+00",570,296.19,307.22
"2022-09-24 09:04:16+00",570,296.16499999999996,307.22
"2022-09-24 09:04:18+00",570,296.205,307.22
"2022-09-24 09:04:20+00",570,296.185,307.21500000000003
"2022-09-24 09:04:22+00",570,296.19,307.22
"2022-09-24 09:04:24+00",570,296.18,307.21500000000003
"2022-09-24 09:04:26+00",570,296.15999999999997,307.225
"2022-09-24 09:04:28+00",570,296.15999999999997,307.235
"2022-09-24 09:04:30+00",570,296.145,307.23
"2022-09-24 09:04:32+00",570,296.17,307.235
"2022-09-24 09:04:34+00",570,296.15999999999997,307.23
"2022-09-24 09:04:36+00",570,296.155,307.23
"2022-09-24 09:04:38+00",570,296.135,307.24
"2022-09-24 09:04:40+00",570,296.145,307.245
"2022-09-24 09:04:42+00",570,296.15,307.23
"2022-09-24 09:04:44+00",570,296.135,307.24
"2022-09-24 09:04:46+00",570,296.155,307.24
"2022-09-24 09:04:48+00",570,296.145,307.255
"2022-09-24 09:04:50+00",570,296.14,307.235
"2022-09-24 09:04:52+00",570,296.145,307.24
"2022-09-24 09:04:54+00",570,296.145,307.23
"2022-09-24 09:04:56+00",570,296.13,307.24
"2022-09-24 09:04:58+00",570,296.145,307.245
"2022-09-24 09:05:00+00",570,296.145,307.235
"2022-09-24 09:05:02+00",570,296.15999999999997,307.23
"2022-09-24 09:05:04+00",570,296.135,307.235
"2022-09-24 09:05:06+00",570,296.15999999999997,307.24
"2022-09-24 09:05:08+00",570,296.15999999999997,307.235
"2022-09-24 09:05:10+00",570,296.15,307.22
"2022-09-24 09:05:12+00",570,296.145,307.21500000000003
"2022-09-24 09:05:14+00",570,296.15999999999997,307.225
"2022-09-24 09:05:16+00",570,296.14,307.23
"2022-09-24 09:05:18+00",570,296.145,307.225
"2022-09-24 09:05:20+00",570,296.15999999999997,307.22
"2022-09-24 09:05:22+00",570,296.16499999999996,307.23
"2022-09-24 09:05:24+00",570,296.15999999999997,307.225
"2022-09-24 09:05:26+00",570,296.155,307.22
"2022-09-24 09:05:28+00",570,296.19,307.21500000000003
"2022-09-24 09:05:30+00",570,296.175,307.21
"2022-09-24 09:05:32+00",570,296.15,307.21500000000003
"2022-09-24 09:05:34+00",570,296.175,307.205
"2022-09-24 09:05:36+00",570,296.15999999999997,307.21500000000003
"2022-09-24 09:05:38+00",570,296.15999999999997,307.22
"2022-09-24 09:05:40+00",570,296.15999999999997,307.21000000000004
"2022-09-24 09:05:42+00",570,296.16499999999996,307.21
"2022-09-24 09:05:44+00",570,296.19,307.21000000000004
"2022-09-24 09:05:46+00",570,296.155,307.21
"2022-09-24 09:05:48+00",570,296.15,307.21
"2022-09-24 09:05:50+00",570,296.175,307.22
"2022-09-24 09:05:52+00",570,296.155,307.205
"2022-09-24 09:05:54+00",570,296.15999999999997,307.205
"2022-09-24 09:05:56+00",570,296.14,307.22
"2022-09-24 09:05:58+00",570,296.17499999999995,307.22
