"time","output","temperature room","temperature labnode"
"2022-09-22 19:10:00+00",2326,NULL,304.67
"2022-09-22 19:10:02+00",2326,NULL,304.66
"2022-09-22 19:10:04+00",2326,NULL,304.645
"2022-09-22 19:10:06+00",2326,NULL,304.65
"2022-09-22 19:10:08+00",2326,294.59,304.665
"2022-09-22 19:10:10+00",2326,NULL,304.65
"2022-09-22 19:10:12+00",2326,NULL,304.635
"2022-09-22 19:10:14+00",2326,NULL,304.63
"2022-09-22 19:10:16+00",2326,NULL,304.63
"2022-09-22 19:10:18+00",2326,294.62,304.63
"2022-09-22 19:10:20+00",2326,NULL,304.63
"2022-09-22 19:10:22+00",2326,NULL,304.625
"2022-09-22 19:10:24+00",2326,NULL,304.64
"2022-09-22 19:10:26+00",2326,NULL,304.635
"2022-09-22 19:10:28+00",2326,294.59,304.645
"2022-09-22 19:10:30+00",2326,NULL,304.64
"2022-09-22 19:10:32+00",2326,NULL,304.635
"2022-09-22 19:10:34+00",2326,NULL,304.64
"2022-09-22 19:10:36+00",2326,NULL,304.62
"2022-09-22 19:10:38+00",2326,294.64,304.64
"2022-09-22 19:10:40+00",2326,NULL,304.64
"2022-09-22 19:10:42+00",2326,NULL,304.625
"2022-09-22 19:10:44+00",2326,NULL,304.63
"2022-09-22 19:10:46+00",2326,NULL,304.635
"2022-09-22 19:10:48+00",2326,294.62,304.64
"2022-09-22 19:10:50+00",2326,NULL,304.635
"2022-09-22 19:10:52+00",2326,NULL,304.64
"2022-09-22 19:10:54+00",2326,NULL,304.64
"2022-09-22 19:10:56+00",2326,NULL,304.63
"2022-09-22 19:10:58+00",2326,294.64,304.645
"2022-09-22 19:11:00+00",2326,NULL,304.645
"2022-09-22 19:11:02+00",2326,NULL,304.645
"2022-09-22 19:11:04+00",2326,NULL,304.64
"2022-09-22 19:11:06+00",2326,NULL,304.65
"2022-09-22 19:11:08+00",2326,294.65,304.65
"2022-09-22 19:11:10+00",2326,NULL,304.655
"2022-09-22 19:11:12+00",2326,NULL,304.66
"2022-09-22 19:11:14+00",2326,NULL,304.665
"2022-09-22 19:11:16+00",2326,NULL,304.655
"2022-09-22 19:11:18+00",2326,294.62,304.665
"2022-09-22 19:11:20+00",2326,NULL,304.665
"2022-09-22 19:11:22+00",2326,NULL,304.66
"2022-09-22 19:11:24+00",2326,NULL,304.655
"2022-09-22 19:11:26+00",2326,NULL,304.655
"2022-09-22 19:11:28+00",2326,294.61,304.665
"2022-09-22 19:11:30+00",2326,NULL,304.655
"2022-09-22 19:11:32+00",2326,NULL,304.65
"2022-09-22 19:11:34+00",2326,NULL,304.645
"2022-09-22 19:11:36+00",2326,NULL,304.655
"2022-09-22 19:11:38+00",2326,294.64,304.655
"2022-09-22 19:11:40+00",2326,NULL,304.65
"2022-09-22 19:11:42+00",2326,NULL,304.65
"2022-09-22 19:11:44+00",2326,NULL,304.655
"2022-09-22 19:11:46+00",2326,NULL,304.645
"2022-09-22 19:11:48+00",2326,294.59,304.65
"2022-09-22 19:11:50+00",2326,NULL,304.65
"2022-09-22 19:11:52+00",2326,NULL,304.64
"2022-09-22 19:11:54+00",2326,NULL,304.645
"2022-09-22 19:11:56+00",2326,NULL,304.65
"2022-09-22 19:11:58+00",2326,294.62,304.65
"2022-09-22 19:12:00+00",2326,NULL,304.65
"2022-09-22 19:12:02+00",2326,NULL,304.645
"2022-09-22 19:12:04+00",2326,NULL,304.64
"2022-09-22 19:12:06+00",2326,NULL,304.65
"2022-09-22 19:12:08+00",2326,294.61,304.66
"2022-09-22 19:12:10+00",2326,NULL,304.655
"2022-09-22 19:12:12+00",2326,NULL,304.64
"2022-09-22 19:12:14+00",2326,NULL,304.655
"2022-09-22 19:12:16+00",2326,NULL,304.65
"2022-09-22 19:12:18+00",2326,294.59,304.655
"2022-09-22 19:12:20+00",2326,NULL,304.655
"2022-09-22 19:12:22+00",2326,NULL,304.66
"2022-09-22 19:12:24+00",2326,NULL,304.665
"2022-09-22 19:12:26+00",2326,NULL,304.66
"2022-09-22 19:12:28+00",2326,294.61,304.65999999999997
"2022-09-22 19:12:30+00",2326,NULL,304.665
"2022-09-22 19:12:32+00",2326,NULL,304.67
"2022-09-22 19:12:34+00",2326,NULL,304.665
"2022-09-22 19:12:36+00",2326,NULL,304.665
"2022-09-22 19:12:38+00",2326,294.58,304.68
"2022-09-22 19:12:40+00",2326,NULL,304.67
"2022-09-22 19:12:42+00",2326,NULL,304.675
"2022-09-22 19:12:44+00",2326,NULL,304.66
"2022-09-22 19:12:46+00",2326,NULL,304.67
"2022-09-22 19:12:48+00",2326,NULL,304.675
"2022-09-22 19:12:50+00",2326,294.61,304.675
"2022-09-22 19:12:52+00",2326,NULL,304.675
"2022-09-22 19:12:54+00",2326,NULL,304.675
"2022-09-22 19:12:56+00",2326,NULL,304.68
"2022-09-22 19:12:58+00",2326,NULL,304.685
"2022-09-22 19:13:00+00",2326,294.64,304.68
"2022-09-22 19:13:02+00",2326,NULL,304.67
"2022-09-22 19:13:04+00",2326,NULL,304.67
"2022-09-22 19:13:06+00",2326,NULL,304.675
"2022-09-22 19:13:08+00",2326,NULL,304.675
"2022-09-22 19:13:10+00",2326,294.61,304.67
"2022-09-22 19:13:12+00",2326,NULL,304.655
"2022-09-22 19:13:14+00",2326,NULL,304.655
"2022-09-22 19:13:16+00",2326,NULL,304.66
"2022-09-22 19:13:18+00",2326,NULL,304.66
"2022-09-22 19:13:20+00",2326,294.59,304.67
"2022-09-22 19:13:22+00",2326,NULL,304.655
"2022-09-22 19:13:24+00",2326,NULL,304.65
"2022-09-22 19:13:26+00",2326,NULL,304.66
"2022-09-22 19:13:28+00",2326,NULL,304.655
"2022-09-22 19:13:30+00",2326,294.64,304.65
"2022-09-22 19:13:32+00",2326,NULL,304.645
"2022-09-22 19:13:34+00",2326,NULL,304.64
"2022-09-22 19:13:36+00",2326,NULL,304.65
"2022-09-22 19:13:38+00",2326,NULL,304.65
"2022-09-22 19:13:40+00",2326,294.62,304.64
"2022-09-22 19:13:42+00",2326,NULL,304.65
"2022-09-22 19:13:44+00",2326,NULL,304.645
"2022-09-22 19:13:46+00",2326,NULL,304.645
"2022-09-22 19:13:48+00",2326,NULL,304.65
"2022-09-22 19:13:50+00",2326,294.61,304.65
"2022-09-22 19:13:52+00",2326,NULL,304.645
"2022-09-22 19:13:54+00",2326,NULL,304.645
"2022-09-22 19:13:56+00",2326,NULL,304.65
"2022-09-22 19:13:58+00",2326,NULL,304.65
"2022-09-22 19:14:00+00",2326,294.62,304.65
"2022-09-22 19:14:02+00",2326,NULL,304.645
"2022-09-22 19:14:04+00",2326,NULL,304.645
"2022-09-22 19:14:06+00",2326,NULL,304.645
"2022-09-22 19:14:08+00",2326,NULL,304.66
"2022-09-22 19:14:10+00",2326,294.64,304.665
"2022-09-22 19:14:12+00",2326,NULL,304.655
"2022-09-22 19:14:14+00",2326,NULL,304.66
"2022-09-22 19:14:16+00",2326,NULL,304.67
"2022-09-22 19:14:18+00",2326,NULL,304.65999999999997
"2022-09-22 19:14:20+00",2326,294.61,304.66
"2022-09-22 19:14:22+00",2326,NULL,304.65
"2022-09-22 19:14:24+00",2326,NULL,304.665
"2022-09-22 19:14:26+00",2326,NULL,304.665
"2022-09-22 19:14:28+00",2326,NULL,304.665
"2022-09-22 19:14:30+00",2326,294.62,304.665
"2022-09-22 19:14:32+00",2326,NULL,304.66
"2022-09-22 19:14:34+00",2326,NULL,304.67
"2022-09-22 19:14:36+00",2326,NULL,304.67
"2022-09-22 19:14:38+00",2326,NULL,304.67
"2022-09-22 19:14:40+00",2326,294.64,304.675
"2022-09-22 19:14:42+00",2326,NULL,304.67
"2022-09-22 19:14:44+00",2326,NULL,304.675
"2022-09-22 19:14:46+00",2326,NULL,304.67
"2022-09-22 19:14:48+00",2326,NULL,304.675
"2022-09-22 19:14:50+00",2326,294.67,304.67
"2022-09-22 19:14:52+00",2326,NULL,304.665
"2022-09-22 19:14:54+00",2326,NULL,304.67
"2022-09-22 19:14:56+00",2326,NULL,304.67
"2022-09-22 19:14:58+00",2326,NULL,304.68
"2022-09-22 19:15:00+00",2326,294.68,304.665
"2022-09-22 19:15:02+00",2326,NULL,304.65999999999997
"2022-09-22 19:15:04+00",2326,NULL,304.66
"2022-09-22 19:15:06+00",2326,NULL,304.67
"2022-09-22 19:15:08+00",2326,NULL,304.67
"2022-09-22 19:15:10+00",2326,294.65,304.66
"2022-09-22 19:15:12+00",2326,NULL,304.66
"2022-09-22 19:15:14+00",2326,NULL,304.65
"2022-09-22 19:15:16+00",2326,NULL,304.65
"2022-09-22 19:15:18+00",2326,NULL,304.665
"2022-09-22 19:15:20+00",2326,294.68,304.65999999999997
"2022-09-22 19:15:22+00",2326,NULL,304.655
"2022-09-22 19:15:24+00",2326,NULL,304.655
"2022-09-22 19:15:26+00",2326,NULL,304.67
"2022-09-22 19:15:28+00",2326,NULL,304.66
"2022-09-22 19:15:30+00",2326,294.67,304.66
"2022-09-22 19:15:32+00",2326,NULL,304.655
"2022-09-22 19:15:34+00",2326,NULL,304.65
"2022-09-22 19:15:36+00",2326,NULL,304.665
"2022-09-22 19:15:38+00",2326,NULL,304.665
"2022-09-22 19:15:40+00",2326,294.65,304.655
"2022-09-22 19:15:42+00",2326,NULL,304.665
"2022-09-22 19:15:44+00",2326,NULL,304.67
"2022-09-22 19:15:46+00",2326,NULL,304.67
"2022-09-22 19:15:48+00",2326,NULL,304.67
"2022-09-22 19:15:50+00",2326,294.62,304.67
"2022-09-22 19:15:52+00",2326,NULL,304.67
"2022-09-22 19:15:54+00",2326,NULL,304.675
"2022-09-22 19:15:56+00",2326,NULL,304.675
"2022-09-22 19:15:58+00",2326,NULL,304.665
"2022-09-22 19:16:00+00",2326,294.59,304.65
"2022-09-22 19:16:02+00",2326,NULL,304.66
"2022-09-22 19:16:04+00",2326,NULL,304.67
"2022-09-22 19:16:06+00",2326,NULL,304.655
"2022-09-22 19:16:08+00",2326,NULL,304.655
"2022-09-22 19:16:10+00",2326,294.61,304.665
"2022-09-22 19:16:12+00",2326,NULL,304.65999999999997
"2022-09-22 19:16:14+00",2326,NULL,304.675
"2022-09-22 19:16:16+00",2326,NULL,304.66
"2022-09-22 19:16:18+00",2326,NULL,304.665
"2022-09-22 19:16:20+00",2326,294.67,304.65999999999997
"2022-09-22 19:16:22+00",2326,NULL,304.65
"2022-09-22 19:16:24+00",2326,NULL,304.665
"2022-09-22 19:16:26+00",2326,NULL,304.655
"2022-09-22 19:16:28+00",2326,NULL,304.65
"2022-09-22 19:16:30+00",2326,294.64,304.645
"2022-09-22 19:16:32+00",2326,NULL,304.645
"2022-09-22 19:16:34+00",2326,NULL,304.645
"2022-09-22 19:16:36+00",2326,NULL,304.65
"2022-09-22 19:16:38+00",2326,NULL,304.66
"2022-09-22 19:16:40+00",2326,NULL,304.66
"2022-09-22 19:16:42+00",2326,294.62,304.66
"2022-09-22 19:16:44+00",2326,NULL,304.655
"2022-09-22 19:16:46+00",2326,NULL,304.66
"2022-09-22 19:16:48+00",2326,NULL,304.66
"2022-09-22 19:16:50+00",2326,NULL,304.64
"2022-09-22 19:16:52+00",2326,294.64,304.66
"2022-09-22 19:16:54+00",2326,NULL,304.66
"2022-09-22 19:16:56+00",2326,NULL,304.665
"2022-09-22 19:16:58+00",2326,NULL,304.655
"2022-09-22 19:17:00+00",2326,NULL,304.66
"2022-09-22 19:17:02+00",2326,294.67,304.65
"2022-09-22 19:17:04+00",2326,NULL,304.655
"2022-09-22 19:17:06+00",2326,NULL,304.66
"2022-09-22 19:17:08+00",2326,NULL,304.655
"2022-09-22 19:17:10+00",2326,NULL,304.645
"2022-09-22 19:17:12+00",2326,294.62,304.645
"2022-09-22 19:17:14+00",2326,NULL,304.645
"2022-09-22 19:17:16+00",2326,NULL,304.66
"2022-09-22 19:17:18+00",2326,NULL,304.65
"2022-09-22 19:17:20+00",2326,NULL,304.65
