time,Output,Temperature
2022-09-13 03:05:02+00,775,309.65
2022-09-13 03:05:04+00,775,309.66
2022-09-13 03:05:06+00,775,309.645
2022-09-13 03:05:08+00,775,309.66
2022-09-13 03:05:10+00,775,309.65
2022-09-13 03:05:12+00,775,309.655
2022-09-13 03:05:14+00,775,309.655
2022-09-13 03:05:16+00,775,309.66
2022-09-13 03:05:18+00,775,309.655
2022-09-13 03:05:20+00,775,309.66
2022-09-13 03:05:22+00,775,309.65
2022-09-13 03:05:24+00,775,309.66
2022-09-13 03:05:26+00,775,309.655
2022-09-13 03:05:28+00,775,309.66
2022-09-13 03:05:30+00,775,309.655
2022-09-13 03:05:32+00,775,309.66
2022-09-13 03:05:34+00,775,309.655
2022-09-13 03:05:36+00,775,309.65
2022-09-13 03:05:38+00,775,309.65
2022-09-13 03:05:40+00,775,309.65
2022-09-13 03:05:42+00,775,309.65
2022-09-13 03:05:44+00,775,309.65
2022-09-13 03:05:46+00,775,309.65
2022-09-13 03:05:48+00,775,309.655
2022-09-13 03:05:50+00,775,309.65
2022-09-13 03:05:52+00,775,309.655
2022-09-13 03:05:54+00,775,309.66
2022-09-13 03:05:56+00,775,309.65
2022-09-13 03:05:58+00,775,309.65
2022-09-13 03:06:00+00,775,309.65
2022-09-13 03:06:02+00,775,309.64
2022-09-13 03:06:04+00,775,309.65
2022-09-13 03:06:06+00,775,309.64
2022-09-13 03:06:08+00,775,309.65
2022-09-13 03:06:10+00,775,309.65
2022-09-13 03:06:12+00,775,309.655
2022-09-13 03:06:14+00,775,309.65
2022-09-13 03:06:16+00,775,309.65
2022-09-13 03:06:18+00,775,309.645
2022-09-13 03:06:20+00,775,309.655
2022-09-13 03:06:22+00,775,309.65
2022-09-13 03:06:24+00,775,309.64
2022-09-13 03:06:26+00,775,309.655
2022-09-13 03:06:28+00,775,309.645
2022-09-13 03:06:30+00,775,309.64
2022-09-13 03:06:32+00,775,309.655
2022-09-13 03:06:34+00,775,309.65
2022-09-13 03:06:36+00,775,309.65
2022-09-13 03:06:38+00,775,309.65
2022-09-13 03:06:40+00,775,309.645
2022-09-13 03:06:42+00,775,309.64
2022-09-13 03:06:44+00,775,309.65
2022-09-13 03:06:46+00,775,309.645
2022-09-13 03:06:48+00,775,309.65
2022-09-13 03:06:50+00,775,309.65
2022-09-13 03:06:52+00,775,309.645
2022-09-13 03:06:54+00,775,309.64
2022-09-13 03:06:56+00,775,309.645
2022-09-13 03:06:58+00,775,309.65
2022-09-13 03:07:00+00,775,309.64
2022-09-13 03:07:02+00,775,309.645
2022-09-13 03:07:04+00,775,309.645
2022-09-13 03:07:06+00,775,309.65
2022-09-13 03:07:08+00,775,309.645
2022-09-13 03:07:10+00,775,309.645
2022-09-13 03:07:12+00,775,309.645
2022-09-13 03:07:14+00,775,309.63
2022-09-13 03:07:16+00,775,309.65
2022-09-13 03:07:18+00,775,309.645
