"time","output","temperature room","temperature labnode"
"2022-09-22 04:10:00+00",431,NULL,308.685
"2022-09-22 04:10:02+00",431,NULL,308.69
"2022-09-22 04:10:04+00",431,NULL,308.695
"2022-09-22 04:10:06+00",431,NULL,308.69
"2022-09-22 04:10:08+00",431,NULL,308.685
"2022-09-22 04:10:10+00",431,NULL,308.685
"2022-09-22 04:10:12+00",431,NULL,308.69
"2022-09-22 04:10:14+00",431,NULL,308.68
"2022-09-22 04:10:16+00",431,NULL,308.69
"2022-09-22 04:10:18+00",431,NULL,308.69
"2022-09-22 04:10:20+00",431,NULL,308.69
"2022-09-22 04:10:22+00",431,NULL,308.68
"2022-09-22 04:10:24+00",431,NULL,308.69
"2022-09-22 04:10:26+00",431,NULL,308.685
"2022-09-22 04:10:28+00",431,NULL,308.69
"2022-09-22 04:10:30+00",431,NULL,308.68
"2022-09-22 04:10:32+00",431,NULL,308.68
"2022-09-22 04:10:34+00",431,NULL,308.68
"2022-09-22 04:10:36+00",431,NULL,308.68
"2022-09-22 04:10:38+00",431,NULL,308.68
"2022-09-22 04:10:40+00",431,NULL,308.685
"2022-09-22 04:10:42+00",431,NULL,308.67
"2022-09-22 04:10:44+00",431,NULL,308.68
"2022-09-22 04:10:46+00",431,295.46,308.675
"2022-09-22 04:10:48+00",431,295.4,308.675
"2022-09-22 04:10:50+00",431,295.46,308.68
"2022-09-22 04:10:52+00",431,295.4,308.67
"2022-09-22 04:10:54+00",431,295.46,308.685
"2022-09-22 04:10:56+00",431,295.42999999999995,308.675
"2022-09-22 04:10:58+00",431,295.4,308.675
"2022-09-22 04:11:00+00",431,295.42999999999995,308.68
"2022-09-22 04:11:02+00",431,295.42999999999995,308.68
"2022-09-22 04:11:04+00",431,295.46,308.675
"2022-09-22 04:11:06+00",431,295.4,308.68
"2022-09-22 04:11:08+00",431,295.42999999999995,308.69
"2022-09-22 04:11:10+00",431,295.46,308.69
"2022-09-22 04:11:12+00",431,295.4,308.69
"2022-09-22 04:11:14+00",431,295.46,308.69
"2022-09-22 04:11:16+00",431,295.42999999999995,308.675
"2022-09-22 04:11:18+00",431,295.42999999999995,308.68
"2022-09-22 04:11:20+00",431,295.4,308.685
"2022-09-22 04:11:22+00",431,295.46,308.675
"2022-09-22 04:11:24+00",431,295.42999999999995,308.68
"2022-09-22 04:11:26+00",431,295.4,308.68
"2022-09-22 04:11:28+00",431,295.42999999999995,308.68
"2022-09-22 04:11:30+00",431,NULL,308.675
"2022-09-22 04:11:32+00",431,NULL,308.68
"2022-09-22 04:11:34+00",431,NULL,308.68
"2022-09-22 04:11:36+00",431,NULL,308.675
"2022-09-22 04:11:38+00",431,NULL,308.68
"2022-09-22 04:11:40+00",431,NULL,308.68
"2022-09-22 04:11:42+00",431,NULL,308.675
"2022-09-22 04:11:44+00",431,NULL,308.675
"2022-09-22 04:11:46+00",431,NULL,308.67
"2022-09-22 04:11:48+00",431,NULL,308.67
"2022-09-22 04:11:50+00",431,NULL,308.67
"2022-09-22 04:11:52+00",431,NULL,308.68
"2022-09-22 04:11:54+00",431,NULL,308.68
"2022-09-22 04:11:56+00",431,NULL,308.68
"2022-09-22 04:11:58+00",431,NULL,308.675
"2022-09-22 04:12:00+00",431,NULL,308.675
"2022-09-22 04:12:02+00",431,NULL,308.68
