#Vds vs Id simulation of a IRF9610
#Vsd,Vgs=-3.5,Vgs=-4,Vgs=-4.5,Vgs=-5
6.599999999999993e+000,-2.149043e-003,-5.044721e-002,-2.234718e-001,-5.002519e-001
6.699999999999992e+000,-2.149873e-003,-5.046488e-002,-2.235398e-001,-5.003885e-001
6.799999999999992e+000,-2.150704e-003,-5.048254e-002,-2.236078e-001,-5.005251e-001
6.899999999999992e+000,-2.151534e-003,-5.050020e-002,-2.236758e-001,-5.006616e-001
6.999999999999991e+000,-2.152364e-003,-5.051786e-002,-2.237438e-001,-5.007980e-001
7.099999999999991e+000,-2.153195e-003,-5.053552e-002,-2.238118e-001,-5.009345e-001
7.199999999999990e+000,-2.154025e-003,-5.055317e-002,-2.238797e-001,-5.010709e-001
7.299999999999990e+000,-2.154856e-003,-5.057083e-002,-2.239477e-001,-5.012073e-001
7.399999999999990e+000,-2.155686e-003,-5.058848e-002,-2.240156e-001,-5.013436e-001
7.499999999999989e+000,-2.156516e-003,-5.060614e-002,-2.240835e-001,-5.014800e-001
7.599999999999989e+000,-2.157347e-003,-5.062379e-002,-2.241514e-001,-5.016162e-001
7.699999999999989e+000,-2.158177e-003,-5.064144e-002,-2.242193e-001,-5.017526e-001
7.799999999999988e+000,-2.159007e-003,-5.065909e-002,-2.242872e-001,-5.018888e-001
7.899999999999988e+000,-2.159838e-003,-5.067673e-002,-2.243551e-001,-5.020250e-001
7.999999999999988e+000,-2.160668e-003,-5.069438e-002,-2.244229e-001,-5.021611e-001
8.099999999999987e+000,-2.161498e-003,-5.071202e-002,-2.244908e-001,-5.022973e-001
8.199999999999987e+000,-2.162329e-003,-5.072967e-002,-2.245586e-001,-5.024335e-001
8.299999999999987e+000,-2.163159e-003,-5.074731e-002,-2.246265e-001,-5.025696e-001
8.399999999999986e+000,-2.163989e-003,-5.076495e-002,-2.246943e-001,-5.027056e-001
8.499999999999986e+000,-2.164820e-003,-5.078259e-002,-2.247621e-001,-5.028417e-001
8.599999999999985e+000,-2.165650e-003,-5.080022e-002,-2.248299e-001,-5.029777e-001
8.699999999999985e+000,-2.166480e-003,-5.081786e-002,-2.248977e-001,-5.031136e-001
8.799999999999985e+000,-2.167311e-003,-5.083549e-002,-2.249655e-001,-5.032496e-001
8.899999999999984e+000,-2.168141e-003,-5.085313e-002,-2.250333e-001,-5.033855e-001
8.999999999999984e+000,-2.168971e-003,-5.087076e-002,-2.251010e-001,-5.035214e-001
9.099999999999984e+000,-2.169802e-003,-5.088839e-002,-2.251687e-001,-5.036573e-001
9.199999999999983e+000,-2.170632e-003,-5.090602e-002,-2.252365e-001,-5.037931e-001
9.299999999999983e+000,-2.171462e-003,-5.092365e-002,-2.253042e-001,-5.039289e-001
9.399999999999983e+000,-2.172292e-003,-5.094128e-002,-2.253719e-001,-5.040647e-001
9.499999999999982e+000,-2.173123e-003,-5.095890e-002,-2.254396e-001,-5.042004e-001
9.599999999999982e+000,-2.173953e-003,-5.097653e-002,-2.255073e-001,-5.043361e-001
9.699999999999982e+000,-2.174783e-003,-5.099415e-002,-2.255750e-001,-5.044718e-001
9.799999999999981e+000,-2.175613e-003,-5.101177e-002,-2.256427e-001,-5.046075e-001
9.899999999999981e+000,-2.176444e-003,-5.102939e-002,-2.257103e-001,-5.047431e-001
1.000000000000000e+001,-2.177274e-003,-5.104701e-002,-2.257780e-001,-5.048787e-001
